Date,Open,High,Low,Close,Adj Close,Volume
2016-12-16,54.980000,55.880001,54.889999,55.410000,55.410000,1666900
2016-12-19,55.000000,55.470001,54.580002,54.770000,54.770000,1506300
2016-12-20,55.000000,55.209999,53.180000,53.720001,53.720001,2308600
2016-12-21,53.480000,53.869999,52.810001,53.439999,53.439999,1464400
2016-12-22,53.720001,53.720001,52.099998,52.340000,52.340000,1462500
2016-12-23,52.410000,52.740002,52.200001,52.570000,52.570000,768600
2016-12-27,52.340000,53.619999,52.310001,53.320000,53.320000,811400
2016-12-28,53.430000,53.459999,51.880001,52.060001,52.060001,885900
2016-12-29,52.000000,52.360001,51.270000,51.810001,51.810001,907400
2016-12-30,51.610001,51.799999,50.639999,51.150002,51.150002,1345300
2017-01-03,51.830002,53.090000,51.299999,52.500000,52.500000,1602800
2017-01-04,52.950001,55.799999,52.720001,54.840000,54.840000,2273200
2017-01-05,54.630001,55.169998,53.750000,54.560001,54.560001,951500
2017-01-06,54.820000,56.470001,54.669998,56.169998,56.169998,1198800
2017-01-09,56.220001,56.400002,55.040001,55.689999,55.689999,1523700
2017-01-10,55.889999,56.610001,55.009998,56.180000,56.180000,1159700
2017-01-11,56.369999,58.060001,56.139999,57.680000,57.680000,2814300
2017-01-12,57.520000,57.709999,54.939999,56.330002,56.330002,4201000
2017-01-13,56.700001,57.650002,55.360001,56.419998,56.419998,3077200
2017-01-17,56.189999,56.360001,53.220001,53.299999,53.299999,2821300
2017-01-18,53.639999,54.369999,53.169998,54.299999,54.299999,1950900
2017-01-19,54.799999,55.259998,53.630001,53.820000,53.820000,1649500
2017-01-20,53.930000,54.509998,53.529999,53.779999,53.779999,1157800
2017-01-23,53.700001,54.160000,52.889999,53.709999,53.709999,1476300
2017-01-24,54.150002,54.720001,53.560001,54.450001,54.450001,1405300
2017-01-25,57.240002,60.000000,56.799999,58.590000,58.590000,3754700
2017-01-26,58.900002,59.099998,57.349998,57.730000,57.730000,1308500
2017-01-27,57.389999,57.910000,56.049999,57.310001,57.310001,1102500
2017-01-30,56.770000,57.430000,55.660000,57.400002,57.400002,916200
2017-01-31,56.919998,57.889999,55.820000,57.860001,57.860001,1469900
2017-02-01,58.009998,58.330002,57.049999,58.139999,58.139999,1363700
2017-02-02,57.599998,58.439999,57.000000,58.169998,58.169998,2071900
2017-02-03,59.200001,60.880001,59.200001,60.580002,60.580002,2122100
2017-02-06,60.389999,60.540001,59.730000,60.189999,60.189999,1029900
2017-02-07,60.259998,61.340000,60.259998,61.009998,61.009998,1911300
2017-02-08,60.799999,61.360001,60.200001,61.270000,61.270000,1032300
2017-02-09,61.470001,63.230000,61.320000,62.810001,62.810001,1706100
2017-02-10,63.099998,63.450001,62.400002,62.650002,62.650002,1205400
2017-02-13,62.919998,62.959999,61.360001,62.080002,62.080002,1243400
2017-02-14,62.209999,62.209999,61.610001,61.930000,61.930000,1380300
2017-02-15,61.860001,63.230000,61.669998,63.169998,63.169998,1656800
2017-02-16,63.240002,63.779999,62.099998,62.860001,62.860001,1597400
2017-02-17,62.930000,64.389999,62.720001,64.370003,64.370003,1257900
2017-02-21,64.500000,65.339996,64.269997,64.949997,64.949997,1844400
2017-02-22,65.180000,66.459999,64.379997,64.980003,64.980003,2576700
2017-02-23,64.989998,65.360001,64.010002,64.900002,64.900002,3095800
2017-02-24,61.470001,64.610001,61.009998,62.799999,62.799999,4657300
2017-02-27,61.459999,63.150002,61.369999,62.619999,62.619999,1906400
2017-02-28,62.529999,62.599998,61.400002,61.730000,61.730000,1443300
2017-03-01,62.470001,63.910000,61.849998,63.700001,63.700001,2596200
2017-03-02,63.830002,63.950001,62.540001,62.700001,62.700001,1893100
2017-03-03,62.360001,63.000000,61.849998,62.669998,62.669998,918400
2017-03-06,61.990002,62.480000,61.340000,61.779999,61.779999,924500
2017-03-07,61.779999,62.160000,60.570000,60.700001,60.700001,2436200
2017-03-08,60.799999,61.290001,60.389999,60.669998,60.669998,1167700
2017-03-09,60.820000,61.000000,59.349998,60.189999,60.189999,812700
2017-03-10,60.689999,60.970001,60.040001,60.740002,60.740002,1000700
2017-03-13,60.540001,61.750000,60.480000,61.580002,61.580002,1420600
2017-03-14,60.830002,61.330002,60.200001,60.990002,60.990002,1072500
2017-03-15,60.930000,61.790001,60.580002,61.650002,61.650002,1134900
2017-03-16,62.000000,62.340000,61.580002,62.250000,62.250000,1032300
2017-03-17,62.150002,62.849998,61.970001,62.369999,62.369999,1316400
2017-03-20,62.490002,62.740002,61.889999,62.080002,62.080002,608200
2017-03-21,62.410000,62.580002,60.000000,60.080002,60.080002,1154200
2017-03-22,60.000000,60.580002,59.669998,60.480000,60.480000,745500
2017-03-23,60.540001,61.529999,60.500000,60.770000,60.770000,1149700
2017-03-24,60.980000,61.619999,60.480000,60.900002,60.900002,870800
2017-03-27,60.209999,61.290001,59.779999,60.939999,60.939999,814200
2017-03-28,61.000000,61.680000,60.630001,61.259998,61.259998,818800
2017-03-29,61.200001,62.939999,61.080002,62.740002,62.740002,1455500
2017-03-30,62.650002,63.520000,62.529999,62.639999,62.639999,982100
2017-03-31,62.270000,63.099998,62.119999,62.290001,62.290001,785200
2017-04-03,62.400002,62.799999,60.830002,61.150002,61.150002,1123500
2017-04-04,61.139999,62.040001,60.910000,61.080002,61.080002,665500
2017-04-05,61.209999,62.480000,60.950001,61.080002,61.080002,971200
2017-04-06,61.180000,61.369999,60.380001,60.930000,60.930000,1013800
2017-04-07,61.009998,61.529999,60.439999,60.950001,60.950001,864700
2017-04-10,61.230000,61.500000,60.860001,61.119999,61.119999,669000
2017-04-11,61.000000,61.470001,60.099998,61.070000,61.070000,657400
2017-04-12,60.880001,61.580002,60.330002,60.720001,60.720001,858600
2017-04-13,60.680000,61.099998,59.459999,59.490002,59.490002,1795400
2017-04-17,59.660000,60.209999,59.240002,60.139999,60.139999,1266100
2017-04-18,60.060001,61.360001,59.810001,61.099998,61.099998,919600
2017-04-19,61.180000,61.930000,61.070000,61.630001,61.630001,800000
2017-04-20,61.810001,62.299999,61.240002,62.029999,62.029999,679500
2017-04-21,62.330002,62.950001,62.110001,62.439999,62.439999,793800
2017-04-24,63.000000,63.520000,62.480000,63.480000,63.480000,858800
2017-04-25,63.650002,64.709999,63.060001,63.849998,63.849998,1072200
2017-04-26,63.860001,63.980000,63.299999,63.720001,63.720001,842500
2017-04-27,64.400002,65.160004,64.110001,64.599998,64.599998,920000
2017-04-28,64.599998,64.599998,63.299999,64.309998,64.309998,963200
2017-05-01,64.489998,65.379997,64.190002,65.209999,65.209999,1019700
2017-05-02,65.320000,65.500000,64.610001,65.419998,65.419998,1351100
2017-05-03,65.239998,65.260002,64.370003,64.930000,64.930000,902500
2017-05-04,65.099998,66.279999,64.809998,65.970001,65.970001,884000
2017-05-05,66.199997,67.080002,65.889999,66.940002,66.940002,917300
2017-05-08,66.680000,67.389999,66.050003,66.349998,66.349998,742300
2017-05-09,66.660004,66.790001,66.000000,66.769997,66.769997,786700
2017-05-10,66.790001,67.769997,66.760002,67.599998,67.599998,1009300
2017-05-11,67.370003,67.739998,66.919998,67.230003,67.230003,655000
2017-05-12,67.139999,67.750000,66.769997,67.379997,67.379997,659800
2017-05-15,67.910004,69.230003,67.540001,68.300003,68.300003,1598300
2017-05-16,68.739998,69.099998,68.330002,68.830002,68.830002,1753700
2017-05-17,67.830002,68.129997,66.089996,66.180000,66.180000,1113900
2017-05-18,65.930000,65.930000,64.419998,65.309998,65.309998,1735800
2017-05-19,65.980003,67.629997,65.580002,65.930000,65.930000,1505700
2017-05-22,66.389999,66.580002,65.639999,66.489998,66.489998,1309000
2017-05-23,66.989998,67.300003,65.349998,66.430000,66.430000,1333400
2017-05-24,66.910004,67.089996,65.690002,66.169998,66.169998,1751900
2017-05-25,66.599998,67.669998,66.349998,67.089996,67.089996,3546100
2017-05-26,63.450001,63.900002,61.599998,62.410000,62.410000,10078200
2017-05-30,62.400002,63.200001,60.520000,61.599998,61.599998,3772700
2017-05-31,61.840000,61.840000,60.689999,61.240002,61.240002,1593800
2017-06-01,61.590000,62.000000,60.939999,61.599998,61.599998,1630200
2017-06-02,61.459999,62.759998,61.369999,62.509998,62.509998,1467300
2017-06-05,62.509998,63.000000,62.360001,62.560001,62.560001,1433300
2017-06-06,62.380001,63.560001,62.160000,62.869999,62.869999,1146100
2017-06-07,62.779999,62.930000,61.049999,61.529999,61.529999,1535400
2017-06-08,61.520000,61.689999,60.980000,61.419998,61.419998,1760000
2017-06-09,61.470001,61.790001,57.680000,58.270000,58.270000,3025700
2017-06-12,57.430000,57.810001,55.209999,57.810001,57.810001,4046700
2017-06-13,58.150002,58.889999,57.680000,58.090000,58.090000,2135500
2017-06-14,58.209999,58.509998,56.639999,57.599998,57.599998,1628500
2017-06-15,54.310001,58.080002,54.169998,57.740002,57.740002,2968300
2017-06-16,57.680000,58.660000,57.189999,57.500000,57.500000,2095400
2017-06-19,57.939999,58.250000,57.270000,57.779999,57.779999,1222300
2017-06-20,57.599998,57.799999,56.840000,56.919998,56.919998,1371200
2017-06-21,57.240002,58.020000,56.709999,57.130001,57.130001,1623400
2017-06-22,58.259998,59.080002,58.070000,58.830002,58.830002,1643100
2017-06-23,58.779999,59.090000,58.279999,58.430000,58.430000,1845700
2017-06-26,58.439999,59.290001,57.669998,57.820000,57.820000,1202500
2017-06-27,57.540001,57.540001,55.919998,56.090000,56.090000,1805200
2017-06-28,56.529999,57.500000,56.180000,57.060001,57.060001,2481500
2017-06-29,57.009998,57.900002,56.349998,57.779999,57.779999,3341900
2017-06-30,57.700001,57.820000,56.860001,56.889999,56.889999,1333700
2017-07-03,57.340000,57.529999,56.130001,56.400002,56.400002,777200
2017-07-05,56.259998,56.980000,55.970001,56.480000,56.480000,906100
2017-07-06,56.160000,56.840000,55.970001,56.270000,56.270000,1054900
2017-07-07,56.459999,57.369999,56.310001,57.250000,57.250000,863600
2017-07-10,57.430000,58.139999,57.080002,57.619999,57.619999,1214000
2017-07-11,57.660000,59.049999,57.480000,58.500000,58.500000,1482800
2017-07-12,59.200001,61.660000,58.650002,60.740002,60.740002,2807500
2017-07-13,60.970001,61.209999,60.230000,60.380001,60.380001,1840800
2017-07-14,60.200001,60.560001,59.560001,59.840000,59.840000,994500
2017-07-17,59.939999,60.470001,59.689999,60.070000,60.070000,2306000
2017-07-18,59.980000,60.950001,59.900002,60.830002,60.830002,1024500
2017-07-19,61.160000,62.299999,61.160000,61.950001,61.950001,1819100
2017-07-20,62.020000,62.130001,61.110001,61.560001,61.560001,1634300
2017-07-21,61.220001,61.380001,60.720001,61.060001,61.060001,664200
2017-07-24,61.160000,61.369999,60.820000,61.299999,61.299999,845000
2017-07-25,61.230000,61.869999,60.549999,61.480000,61.480000,617300
2017-07-26,61.779999,62.110001,61.299999,62.060001,62.060001,751300
2017-07-27,62.200001,62.200001,59.049999,60.330002,60.330002,1211400
2017-07-28,60.330002,60.509998,59.889999,60.060001,60.060001,1343100
2017-07-31,60.220001,60.500000,59.450001,60.009998,60.009998,1209100
2017-08-01,60.380001,60.549999,59.799999,60.189999,60.189999,927900
2017-08-02,60.540001,60.570000,58.389999,58.570000,58.570000,1116100
2017-08-03,58.980000,59.799999,58.759998,59.400002,59.400002,1164300
2017-08-04,59.490002,60.020000,59.099998,59.750000,59.750000,626700
2017-08-07,59.900002,59.900002,58.910000,58.990002,58.990002,980300
2017-08-08,58.860001,59.470001,58.459999,58.889999,58.889999,958200
2017-08-09,58.549999,59.130001,58.459999,58.820000,58.820000,741000
2017-08-10,58.680000,58.680000,56.799999,56.830002,56.830002,1218700
2017-08-11,56.810001,58.360001,56.810001,58.200001,58.200001,1057300
2017-08-14,58.779999,59.380001,58.560001,58.599998,58.599998,1157900
2017-08-15,58.650002,58.930000,57.419998,58.259998,58.259998,815000
2017-08-16,58.369999,61.049999,58.310001,60.759998,60.759998,1723300
2017-08-17,60.619999,60.919998,59.099998,59.160000,59.160000,1450100
