,Date,Open,High,Low,Close,Adj Close,Volume,Day,Month,Year,Predicted using Facebook model,Predicted using Intel model,Predicted using Microsoft model,Predicted using Google model,Predicted using Apple model
66,2014-10-14,51.869999,53.349998,50.369999,51.740002000000004,51.740002000000004,1991600,14,10,2014,51.95097540553843,51.87189455052888,52.03610792598636,52.18237404374899,52.39002190171941
67,2014-10-15,50.0,54.400002,49.610001000000004,53.43,53.43,2354300,15,10,2014,53.19785463707285,53.14780716712494,53.611499701614775,53.52422561886879,53.74878975038655
68,2014-10-16,51.34,56.169998,51.299999,54.740002000000004,54.740002000000004,2068400,16,10,2014,55.12026281003256,55.08686702892148,55.595063960805675,55.51102745772986,55.687846636187956
69,2014-10-17,56.220001,58.759997999999996,55.759997999999996,56.580002,56.580002,2815000,17,10,2014,57.85543025974462,57.83082395364275,58.09995051663813,57.972036035485324,58.32753975491184
70,2014-10-20,55.740002000000004,57.049999,54.849998,55.91,55.91,1696600,20,10,2014,56.067225191663056,56.04769907286698,56.19687720290442,56.2179496199849,56.50430650180549
71,2014-10-21,56.529999,58.91,56.0,58.32,58.32,1719300,21,10,2014,57.97053996959161,57.951743481654155,58.210701205464716,58.144125029482936,58.43607444403207
72,2014-10-22,57.98,58.209998999999996,55.220001,55.700001,55.700001,2567700,22,10,2014,56.19290513962409,56.02048613632232,56.05945060868977,55.866745430448866,56.490488749145584
73,2014-10-23,56.700001,61.5,56.41,59.830002,59.830002,3720200,23,10,2014,60.279871208616385,60.21444030871719,60.71783275921136,60.099201872051275,60.77779083393567
74,2014-10-24,59.810001,63.75,59.650002,63.240002000000004,63.240002000000004,3149100,24,10,2014,62.77357747731338,62.73459924270959,63.14991157885372,62.65333463247379,63.247067844873655
75,2014-10-27,62.700001,64.0,61.900002,62.549999,62.549999,1648700,27,10,2014,63.06963508977046,63.042705378104074,63.19245830858313,62.98988635654891,63.45564425299938
76,2014-10-28,63.130001,67.08000200000001,62.700001,66.57,66.57,3197800,28,10,2014,65.91791102562163,65.8463620035322,66.2643135326943,65.61554055805848,66.34916302034175
77,2014-10-29,66.269997,66.269997,63.43,64.18,64.18,2371300,29,10,2014,64.23717207260728,64.04149523603282,64.05831876667055,63.67740287972944,64.46331881508266
78,2014-10-30,63.799999,66.440002,63.41,65.699997,65.699997,1737200,30,10,2014,65.52988760716764,65.50342251993375,65.79191021661973,65.40694445323554,65.9458851449823
79,2014-10-31,67.0,68.199997,64.730003,66.08000200000001,66.08000200000001,2365400,31,10,2014,66.32042341544542,66.14428972252884,66.28485405352359,65.78509317923817,66.58745821368166
80,2014-11-03,65.910004,66.300003,63.869999,64.349998,64.349998,1845400,3,11,2014,64.80891965540658,64.64599565884322,64.6780214197602,65.20332367435178,65.15056937026608
81,2014-11-04,64.349998,64.959999,62.880001,64.290001,64.290001,1573600,4,11,2014,63.79386829599278,63.68862347519659,63.744852285776844,64.28525029990145,64.18019045524225
82,2014-11-05,65.08000200000001,65.690002,62.169998,62.990002000000004,62.990002000000004,1594800,5,11,2014,63.577500170746504,63.33262963535205,63.39153141449222,63.85289904198783,63.88033452190999
83,2014-11-06,64.540001,66.239998,63.779999,64.83000200000001,64.83000200000001,1700500,6,11,2014,65.33697210537869,65.27059205965739,65.43895732495916,65.8465490423269,65.77281800170537
84,2014-11-07,66.290001,67.690002,65.309998,66.870003,66.870003,2330600,7,11,2014,66.6980795926321,66.61381145068098,66.74967482983399,67.02387270539762,67.10057997012221
85,2014-11-10,67.089996,67.650002,65.730003,66.760002,66.760002,1645000,10,11,2014,66.54757637531858,66.45540441803517,66.50938419739376,66.83730822830981,66.91219605573818
86,2014-11-11,66.730003,67.279999,65.83000200000001,67.029999,67.029999,1287000,11,11,2014,66.4751605657832,66.43149335693758,66.48573252055093,66.85529681594042,66.86762695399351
87,2014-11-12,66.75,69.18,66.739998,67.959999,67.959999,2941700,12,11,2014,68.62066874861586,68.60770662684764,68.850021923495,68.81237634214428,69.07682513802082
88,2014-11-13,68.389999,69.099998,65.43,67.360001,67.360001,1960200,13,11,2014,66.91289610322454,66.6630749512805,66.73588028567949,66.85076894608032,67.17932985108393
89,2014-11-14,67.379997,68.970001,66.33000200000001,68.349998,68.349998,1445100,14,11,2014,67.87034376723668,67.78448311302459,67.94757364551936,68.12264179101197,68.26091199630812
90,2014-11-17,68.349998,68.93,64.400002,64.779999,64.779999,2102600,17,11,2014,66.09943684343921,65.7676645601394,65.83158544649059,65.76056438539841,66.30493777334178
91,2014-11-18,65.07,67.07,64.800003,65.959999,65.959999,2147200,18,11,2014,66.38460867308831,66.38121150307018,66.58783198528081,66.49565681813496,66.82875739646762
92,2014-11-19,65.5,65.889999,61.939999,63.900002,63.900002,2403400,19,11,2014,63.33161299406686,63.06095423677682,63.107139624013485,62.93136107080932,63.56970961009287
